%time,Position1,Effort1,Position,2,Effort2
20.3050000000018,5.33035838477,16.087720871,-7.29289473213,-4.52363395691,
20.3060000000018,5.32878229253,16.087720871,-7.2962888416,-4.52363395691,
20.3070000000018,5.32723232293,16.087720871,-7.29970757478,-4.52363395691,
20.3080000000018,5.32570825485,16.7358932495,-7.30315003888,-4.52363395691,
20.3090000000018,5.32420987484,16.7358932495,-7.30661536662,-4.52363395691,
20.3100000000018,5.32273697681,16.7358932495,-7.31010271553,-4.52363395691,
20.3110000000018,5.32128936187,16.7358932495,-7.31361126727,-4.52363395691,
20.3120000000018,5.31986887729,16.7358932495,-7.31714323987,-4.52363395691,
20.3130000000018,5.31847530908,16.7358932495,-7.32069776845,-4.52363395691,
20.3140000000018,5.31710845059,16.7358932495,-7.32427401266,-4.52363395691,
20.3150000000018,5.31576810234,16.7358932495,-7.32787115601,-4.52363395691,
20.3160000000018,5.31445407171,17.2769012451,-7.33148840517,-4.63183546066,
20.3170000000018,5.3131661728,17.2769012451,-7.33512498935,-4.63183546066,
20.3180000000018,5.31190422619,17.2769012451,-7.33878015964,-4.63183546066,
20.3190000000018,5.31066805875,17.2769012451,-7.3424531884,-4.63183546066,
20.3200000000019,5.30945968879,17.2769012451,-7.34614791441,-4.63183546066,
20.3210000000019,5.308278913,17.2769012451,-7.34986351278,-4.63183546066,
20.3220000000019,5.307125535,17.2769012451,-7.35359918191,-4.63183546066,
20.3230000000019,5.30599936521,17.2769012451,-7.35735414277,-4.63183546066,
20.3240000000019,5.30490022058,18.788608551,-7.36112763829,-4.63183546066,
20.3250000000019,5.30382792435,18.788608551,-7.36491893269,-4.63183546066,
20.3260000000019,5.30278230592,18.788608551,-7.3687273109,-4.63183546066,
20.3270000000019,5.30176790894,18.788608551,-7.37255882478,-4.63183546066,
20.3280000000019,5.300784511,19.1132164001,-7.37641259087,-4.52363395691,
20.3290000000019,5.29983189703,19.1132164001,-7.38028774999,-4.52363395691,
20.3300000000019,5.29890985909,19.1132164001,-7.3841834666,-4.52363395691,
